,train_loss,val_loss,train_acc,val_acc
0,5.242901802062988,4.010818958282471,0.0,0.25
1,3.6753857135772705,3.753830671310425,0.5,0.25
2,2.590038776397705,5.136194229125977,0.5,0.25
3,2.659475803375244,3.3899762630462646,0.5,0.25
4,1.673619031906128,2.8350181579589844,0.5,0.25
5,1.7629339694976807,2.320502519607544,0.3,0.25
6,1.7110035419464111,1.8375039100646973,0.3,0.25
7,1.3174562454223633,1.7821649312973022,0.4,0.25
8,1.3932349681854248,1.7427456378936768,0.5,0.25
9,1.253213882446289,1.6865218877792358,0.5,0.25
10,1.1706266403198242,1.5899137258529663,0.6,0.5
11,1.1831554174423218,1.412529706954956,0.6,0.5
12,1.1548383235931396,1.1916491985321045,0.6,0.5
13,1.0258660316467285,1.2455545663833618,0.6,0.25
14,1.0251634120941162,1.596245288848877,0.5,0.25
15,1.0406227111816406,1.769890546798706,0.5,0.0
16,0.9331884384155273,1.8810539245605469,0.5,0.25
17,0.9101238250732422,1.7137353420257568,0.6,0.25
18,0.9766276478767395,1.3241702318191528,0.6,0.25
19,0.8646131753921509,1.08299720287323,0.7,0.5
